Tarih,XBANK
01/01/1998,5290
02/01/1998,5164
03/01/1998,4577
04/01/1998,5886
05/01/1998,4774
06/01/1998,5404
07/01/1998,5848
08/01/1998,3796
09/01/1998,2955
10/01/1998,3120
11/01/1998,3867
12/01/1998,3927
01/01/1999,3961
02/01/1999,6231
03/01/1999,7565
04/01/1999,8975
05/01/1999,8170
06/01/1999,8402
07/01/1999,9545.08
08/01/1999,7871.59
09/01/1999,9152.77
10/01/1999,10245.85
11/01/1999,13093.63
12/01/1999,24660.78
01/01/2000,24776.31
02/01/2000,24439.63
03/01/2000,22650.44
04/01/2000,29040.43
05/01/2000,25335.51
06/01/2000,21673.83
07/01/2000,21074.98
08/01/2000,19829.52
09/01/2000,16993.05
10/01/2000,20240.56
11/01/2000,13049.66
12/01/2000,14726.92
01/01/2001,18582.54
02/01/2001,14229.61
03/01/2001,12416.49
04/01/2001,20503.83
05/01/2001,19384.16
06/01/2001,19966.11
07/01/2001,17184.45
08/01/2001,16389.65
09/01/2001,12056.71
10/01/2001,14291.66
11/01/2001,17449.33
12/01/2001,21320.24
01/01/2002,20996.64
02/01/2002,17651.5
03/01/2002,19588.71
04/01/2002,19299.91
05/01/2002,17367.7
06/01/2002,13029.69
07/01/2002,12243.65
08/01/2002,11492.99
09/01/2002,10816.56
10/01/2002,12830.77
11/01/2002,17767.5
12/01/2002,13815.52
01/01/2003,14777.35
02/01/2003,16036.74
03/01/2003,12092.49
04/01/2003,14526.72
05/01/2003,14357.84
06/01/2003,14645.62
07/01/2003,14063.44
08/01/2003,15609.84
09/01/2003,18924.84
10/01/2003,23731.53
11/01/2003,22164.66
12/01/2003,29057.99
01/01/2004,26655.63
02/01/2004,29863.29
03/01/2004,31030.94
04/01/2004,27803.35
05/01/2004,26504.79
06/01/2004,29193.63
07/01/2004,31335.17
08/01/2004,32114.13
09/01/2004,34690.78
10/01/2004,35598.37
11/01/2004,37227.17
12/01/2004,43919.85
01/01/2005,49438.88
02/01/2005,53522.3
03/01/2005,46748.36
04/01/2005,45501.9
05/01/2005,48666.69
06/01/2005,52346.68
07/01/2005,59047.54
08/01/2005,62706.74
09/01/2005,68956.59
10/01/2005,66694.87
11/01/2005,82354.88
12/01/2005,85644.22
01/01/2006,96793.6
02/01/2006,101315
03/01/2006,89945.15
04/01/2006,91655.2
05/01/2006,80932.08
06/01/2006,72728.39
07/01/2006,73644.77
08/01/2006,77757.99
09/01/2006,77278.51
10/01/2006,85437.64
11/01/2006,79675.74
12/01/2006,81410.92
01/01/2007,85089.52
02/01/2007,85675.76
03/01/2007,89623.07
04/01/2007,94091.1
05/01/2007,93471.24
06/01/2007,92944.43
07/01/2007,110728.5
08/01/2007,103996.7
09/01/2007,114312.8
10/01/2007,126642.8
11/01/2007,117227.6
12/01/2007,119972.4
01/01/2008,90126.34
02/01/2008,88169.05
03/01/2008,75163.38
04/01/2008,85240.67
05/01/2008,73429.92
06/01/2008,59484.08
07/01/2008,82654.67
08/01/2008,78732.64
09/01/2008,73356.84
10/01/2008,57608.85
11/01/2008,52059.89
12/01/2008,55990.2
01/01/2009,51789.78
02/01/2009,45826.37
03/01/2009,52343.13
04/01/2009,69207.93
05/01/2009,76538.58
06/01/2009,79962.59
07/01/2009,98235.94
08/01/2009,105416.7
09/01/2009,107064.5
10/01/2009,105222.2
11/01/2009,99811.9
12/01/2009,119536.5
01/01/2010,118329
02/01/2010,107628.3
03/01/2010,128466.1
04/01/2010,132488
05/01/2010,125142.7
06/01/2010,127133.4
07/01/2010,141693.8
08/01/2010,137922
09/01/2010,152194.9
10/01/2010,159781
11/01/2010,149810.8
12/01/2010,143692.1
01/01/2011,132382.1
02/01/2011,129519.1
03/01/2011,131578.7
04/01/2011,141535.6
05/01/2011,128850.1
06/01/2011,130746.1
07/01/2011,129201.6
08/01/2011,111362.3
09/01/2011,128317.6
10/01/2011,110334.8
11/01/2011,107546.7
12/01/2011,98752.86
01/01/2012,110677.3
02/01/2012,116403.6
03/01/2012,122027.4
04/01/2012,113059.5
05/01/2012,103468.3
06/01/2012,125037.6
07/01/2012,128533.5
08/01/2012,139148.8
09/01/2012,134896.4
10/01/2012,153287.9
11/01/2012,152407.7
12/01/2012,162505.5
01/01/2013,162534.2
02/01/2013,161513.3
03/01/2013,177361.1
04/01/2013,178810.6
05/01/2013,175937.2
06/01/2013,148826.2
07/01/2013,136614.7
08/01/2013,125768.3
09/01/2013,140668.9
10/01/2013,146470.1
11/01/2013,139216.6
12/01/2013,121924.2
01/01/2014,106443.9
02/01/2014,106746
03/01/2014,127332
04/01/2014,135996.6
05/01/2014,153147.1
06/01/2014,147961
07/01/2014,156095.3
08/01/2014,150549.8
09/01/2014,137049.6
10/01/2014,148735.3
11/01/2014,164289.3
12/01/2014,158940.2
01/01/2015,171227.1
02/01/2015,154472.2
03/01/2015,141748.3
04/01/2015,146098.8
05/01/2015,144565.9
06/01/2015,140516.9
07/01/2015,136366.3
08/01/2015,124369
09/01/2015,119519.7
10/01/2015,129465
11/01/2015,123642.4
12/01/2015,119917.1
01/01/2016,124368.8
02/01/2016,125319.3
03/01/2016,136126.6
04/01/2016,143116.3
05/01/2016,128618.3
06/01/2016,129405.8
07/01/2016,123156.1
08/01/2016,127897.9
09/01/2016,131150.7
10/01/2016,136190.8
11/01/2016,123089.5
12/01/2016,129549.5
01/01/2017,143461.4
02/01/2017,148533.6
03/01/2017,148422.8
04/01/2017,163040.9
05/01/2017,165452
06/01/2017,170612.7
